date,geounit,ncumul_delivered,ncumul_vacc,ncumul_vacc_per100pop,ncumul_fully_vacc,ncumul_fully_vacc_per100pop
2021-03-10,ZG,19300,17761,13.91,7322,5.74
2021-03-10,ZH,195000,155709,10.12,56072,3.64
2021-03-14,AG,94250,88609,12.92,28530,4.16
2021-03-14,AI,2275,2423,15.02,1117,6.93
2021-03-14,AR,9145,7045,12.71,2990,5.39
2021-03-14,BE,161075,127625,12.28,45716,4.4
2021-03-14,BL,49925,37669,13.01,11532,3.98
2021-03-14,BS,32650,27968,14.28,11722,5.99
2021-03-14,CH,1292725,1097977,12.76,394105,4.58
2021-03-14,CHFL,1298250,1101753,12.74,394926,4.57
2021-03-14,FL,5525,3776,9.75,821,2.12
2021-03-14,FR,46250,41216,12.81,12707,3.95
2021-03-14,GE,71025,70495,13.98,24283,4.82
2021-03-14,GL,7005,5655,13.93,2452,6.04
2021-03-14,GR,34625,27674,13.91,9646,4.85
2021-03-14,JU,11550,10124,13.76,3368,4.58
2021-03-14,LU,63500,50200,12.15,18459,4.47
2021-03-14,NE,28900,25467,14.43,8960,5.08
2021-03-14,NW,7190,6619,15.36,3472,8.06
2021-03-14,OW,5810,4971,13.11,2045,5.39
2021-03-14,SG,79700,69102,13.53,25481,4.99
2021-03-14,SH,14375,13465,16.35,5607,6.81
2021-03-14,SO,45150,38931,14.14,15766,5.73
2021-03-14,SZ,24075,19597,12.21,6561,4.09
2021-03-14,TG,43100,34335,12.28,13809,4.94
2021-03-14,TI,64700,50870,14.47,22028,6.27
2021-03-14,UR,6700,6156,16.77,2503,6.82
2021-03-14,VD,115225,102236,12.7,31355,3.89
2021-03-14,VS,57300,45575,13.19,16805,4.86
2021-03-14,ZG,19300,18151,14.22,7494,5.87
2021-03-14,ZH,197925,165799,10.77,59697,3.88
